DOCKET,RPT_PERIOD,OUTG_SEQ,Refuel_Cycle,Outage_Date_Time,OUTG_DATE,OUTG_TYPE,OUTG_HRS,OUTG_REASN,OUTG_METH,OUTG_LER,OUTG_SYSTM,OUTG_COMP,DESCRIP,,,,,,,,,,,,,,,,,,,,,,,,,
155,199701,96-07,,,12/07/1996 00:00:00,F,744,A,4,,,,"AN AUTOMATIC VOLTAGE CONTROL CIRCUIT IN THE EXCITER FAILED, WHICH CAUSED A PROTECTIVE RELAY TO ""OPEN"" AND TRIP THE TURBINE OFF-LINE:THUS CAUSING AN AUTOMATIC REACTOR SCRAM ON HIGH POWER.TURBINE WAS PLACED ON TURNING GEAR FOR INVESTIGATION/REPAIRS.",,,,,,,,,,,,,,,,,,,,,,,,,
155,199702,96-07,,,12/07/1996 00:00:00,F,37.5,A,4,,,,AN AUTOMATIC VOLTAGE CONTROL CIRCUIT IN THE EXCITER FAILED AND TRIPPED THE TURBINE OFF-LINE;CAUSING A SCRAM.AFTER REPAIRS AND ATTEMPTING TO RETURN THE UNIT TO SERVICE;HIGH TURBINE VIBRATION WAS NOTICED.THE TURBINE WAS PLACED ON TURNING GEAR FOR REPAIRS.,,,,,,,,,,,,,,,,,,,,,,,,,
155,199703,97-01,,,03/02/1997 00:00:00,F,697.5,A,1,,,,"REMOVED FROM SERVICE TO INVESTIGATE AND REPAIR LEAKAGE FROM MO-7071 AND/OR VPI-303 ON THE POST INCIDENT SYSTEM. AFTER THE UNIT WAS REMOVED FROM SERVICE, THE REACTOR WAS MANUALLY SCRAMMED TO FULLY INSERT THE REMAINING WITHDRAWN CONTROL ROD DRIVES.",,,,,,,,,,,,,,,,,,,,,,,,,
155,199704,97-01,,,03/02/1997 00:00:00,F,719,A,4,,,,THE UNIT WAS REMOVED FROM SERVICE TO INVESTIGATE AND REPAIR LEAKAGE FROM MO-7071 AND/OR VPI-303 ON THE POST INCIDENT SYSTEM.  THE UNIT WAS MANUALLY SCRAMMED TWICE DURING STARTUPS IN APRIL 97 DUE TO EQUIPMENT FAILURE.,,,,,,,,,,,,,,,,,,,,,,,,,
155,199705,97-01,,,03/02/1997 00:00:00,F,113.5,A,4,,,,THE UNIT WAS REMOVED FROM SERVICE TO INVESTIGATE AND REPAIR LEAKAGE FROM MO-7071 AND/OR VPI-3-3 ON THE POST INCIDENT SYSTEM.  THE UNIT WAS MANUALLY SCRAMMED TWICE DURING STARTUPS IN APRIL 97 DUE TO EQUIPMENT FAILURE.,,,,,,,,,,,,,,,,,,,,,,,,,
155,199709,97-03,,,08/29/1997 00:00:00,S,720,A,4,,,,THE UNIT WAS REMOVED FROM SERVICE; REACTOR WAS MANUALLY SCRAMMED TO INSERT THE REMAINING WITHDRAWN CONTROL ROD DRIVE.  THE PLANT IS SHUTDOWN FOR DECOMMISSIONING.,,,,,,,,,,,,,,,,,,,,,,,,,
219,200601,1F09,,,01/28/2006 00:00:00,F,77.25,A,1,,,,"FORCED OUTAGE TO REPAIR THE ""B"" RECIRCULATION PUMP.",,,,,,,,,,,,,,,,,,,,,,,,,
219,200602,1F09,,,01/28/2006 00:00:00,F,105.97,A,4,,,,"FORCED OUTAGE TO REPAIR THE ""B"" RECIRCULATION PUMP.",,,,,,,,,,,,,,,,,,,,,,,,,
219,200605,1F10,,,05/06/2006 00:00:00,F,139.88,A,1,,,,A FORCED OUTAGE DUE TO EXCESSIVE LEAKAGE FROM THE STEAM PACKING EXHAUSTER CONDENSER.,,,,,,,,,,,,,,,,,,,,,,,,,
219,200707,1F12,,,07/17/2007 00:00:00,F,133.58,A,3,,,,"FAILURE OF THE ""C"" FEEDWATER LED TO A PLANT SCRAM ON LOW LEVEL, AND 1F12 COMMENCED.",,,,,,,,,,,,,,,,,,,,,,,,,
